experiment_id,page_size_P,alpha_max,seed,num_inserted_records,num_successful_searches,num_unsuccessful_searches,initial_buckets,final_primary_buckets,final_overflow_pages,final_total_pages,final_total_records,final_load_factor_global,real_space_utilization,overflow_page_percentage,num_splits,final_level,final_split_pointer,insert_total_page_accesses,insert_avg_page_accesses,successful_search_total_page_accesses,successful_search_avg_page_accesses,unsuccessful_search_total_page_accesses,unsuccessful_search_avg_page_accesses,insert_runtime_ms,successful_search_runtime_ms,unsuccessful_search_runtime_ms,total_runtime_ms
p10_a040_s42,10,0.4,42,100000,5000,5000,4,24588,412,25000,100000,0.4,0.4,1.648,24584,12,8204,494577,4.94577,5030,1.006,5137,1.0274,8949.210617,1.387268,1.340842,9013.749341
p10_a040_s43,10,0.4,43,100000,5000,5000,4,24609,391,25000,100000,0.4,0.4,1.564,24605,12,8225,494672,4.94672,5041,1.0082,5121,1.0242,8913.32576,1.327716,1.242611,8993.767356
p10_a040_s44,10,0.4,44,100000,5000,5000,4,24614,386,25000,100000,0.4,0.4,1.544,24610,12,8230,494105,4.94105,5042,1.0084,5099,1.0198,8958.842243,1.343363,1.205296,9037.687264
p10_a040_s45,10,0.4,45,100000,5000,5000,4,24629,371,25000,100000,0.4,0.4,1.484,24625,12,8245,494807,4.94807,5021,1.0042,5108,1.0216,9028.540035,1.15578,1.106549,9103.270667
p10_a040_s46,10,0.4,46,100000,5000,5000,4,24616,384,25000,100000,0.4,0.4,1.536,24612,12,8232,494053,4.94053,5031,1.0062,5136,1.0272,8914.974931,1.214925,1.132665,9019.322832
p10_a050_s42,10,0.5,42,100000,5000,5000,4,19327,673,20000,100000,0.5,0.5,3.365,19323,12,2943,497960,4.9796,5058,1.0116,5224,1.0448,7324.040375,1.055928,1.159689,7418.381377
p10_a050_s43,10,0.5,43,100000,5000,5000,4,19357,643,20000,100000,0.5,0.5,3.215,19353,12,2973,498842,4.98842,5061,1.0122,5195,1.039,7140.971394,1.144601,1.143031,7233.334221
p10_a050_s44,10,0.5,44,100000,5000,5000,4,19381,619,20000,100000,0.5,0.5,3.095,19377,12,2997,498304,4.98304,5065,1.013,5155,1.031,7100.44258,1.204285,1.145403,7187.833319
p10_a050_s45,10,0.5,45,100000,5000,5000,4,19402,598,20000,100000,0.5,0.5,2.99,19398,12,3018,499417,4.99417,5037,1.0074,5184,1.0368,7025.358343,1.092537,1.041426,7132.850775
p10_a050_s46,10,0.5,46,100000,5000,5000,4,19406,594,20000,100000,0.5,0.5,2.97,19402,12,3022,498244,4.98244,5057,1.0114,5191,1.0382,6966.822594,1.297307,1.263814,7030.908859
p10_a060_s42,10,0.6,42,100000,5000,5000,4,15157,1510,16667,100000,0.599988,0.599988,9.059819,15153,11,6965,525026,5.25026,5251,1.0502,5722,1.1444,5317.636051,1.275219,1.418539,5382.46319
p10_a060_s43,10,0.6,43,100000,5000,5000,4,15124,1543,16667,100000,0.599988,0.599988,9.257815,15120,11,6932,525748,5.25748,5231,1.0462,5721,1.1442,5351.680692,0.955269,1.049152,5457.641866
p10_a060_s44,10,0.6,44,100000,5000,5000,4,15200,1467,16667,100000,0.599988,0.599988,8.801824,15196,11,7008,525645,5.25645,5250,1.05,5670,1.134,5271.516011,1.0364,1.139277,5339.260852
p10_a060_s45,10,0.6,45,100000,5000,5000,4,15161,1506,16667,100000,0.599988,0.599988,9.035819,15157,11,6969,526418,5.26418,5217,1.0434,5762,1.1524,5352.332423,0.998138,1.112754,5450.725466
p10_a060_s46,10,0.6,46,100000,5000,5000,4,15190,1476,16666,100000,0.600024,0.600024,8.856354,15186,11,6998,524409,5.24409,5226,1.0452,5727,1.1454,5657.51964,0.830087,1.030999,5746.672372
p10_a075_s42,10,0.75,42,100000,5000,5000,4,7148,6190,13338,100000,0.749738,0.749738,46.408757,7144,10,3052,638718,6.38718,6892,1.3784,10049,2.0098,2888.768459,1.31018,1.928978,2970.813114
p10_a075_s43,10,0.75,43,100000,5000,5000,4,7190,6144,13334,100000,0.749963,0.749963,46.077696,7186,10,3094,639698,6.39698,6849,1.3698,9893,1.9786,3005.045611,1.14447,1.717367,3089.917328
p10_a075_s44,10,0.75,44,100000,5000,5000,4,7150,6185,13335,100000,0.749906,0.749906,46.381702,7146,10,3054,638204,6.38204,6876,1.3752,9996,1.9992,2881.825598,1.239776,1.99083,2995.189004
p10_a075_s45,10,0.75,45,100000,5000,5000,4,7191,6143,13334,100000,0.749963,0.749963,46.070196,7187,10,3095,637327,6.37327,6822,1.3644,9975,1.995,3036.356101,1.120887,1.641732,3127.51561
p10_a075_s46,10,0.75,46,100000,5000,5000,4,7184,6162,13346,100000,0.749288,0.749288,46.171137,7180,10,3088,637078,6.37078,6761,1.3522,9905,1.981,2860.188161,1.11691,1.638661,2953.335338
