experiment_id,page_size_P,alpha_max,num_runs,successful_search_avg_page_accesses,successful_search_avg_page_accesses_std,unsuccessful_search_avg_page_accesses,unsuccessful_search_avg_page_accesses_std,real_space_utilization,real_space_utilization_std,overflow_page_percentage,overflow_page_percentage_std,final_primary_buckets,final_primary_buckets_std,final_overflow_pages,final_overflow_pages_std,final_total_pages,final_total_pages_std,num_splits,num_splits_std,insert_runtime_ms,insert_runtime_ms_std,total_runtime_ms,total_runtime_ms_std
p10_a040,10,0.4,5,1.0066,0.0017378147196982707,1.0240399999999998,0.0033627369804966637,0.4,0.0,1.5552,0.05969254559825704,24611.2,14.92313639956427,388.8,14.923136399564267,25000.0,0.0,24607.2,14.92313639956427,8952.978717200001,46.83678319931195,9033.559491999998,41.99769362597653
p10_a050,10,0.5,5,1.01112,0.0021707141681943727,1.03796,0.004942469018618135,0.5,0.0,3.1270000000000002,0.16494696117237195,19374.6,32.98939223447441,625.4,32.9893922344744,20000.0,0.0,19370.6,32.98939223447441,7111.527057199999,136.48825391186065,7200.6617102,143.22034362956887
p10_a060,10,0.6,5,1.047,0.0030033314835362394,1.14408,0.006570540312637987,0.5999952,1.6099689438014585e-05,9.002326199999999,0.1811151098105846,15166.4,30.004999583402764,1500.4,30.204304329019067,16666.8,0.4472135954999579,15162.4,30.004999583402764,5390.1369634,153.07586066860907,5475.3527492,159.4396365946505
p10_a075,10,0.75,5,1.3679999999999999,0.010317945531936072,1.9927199999999998,0.012996614943899771,0.7497716000000001,0.0002856261542646561,46.2218976,0.1634304110510018,7172.6,21.72095762161512,6164.8,22.129166274399044,13337.4,5.079370039680118,7168.6,21.72095762161512,2934.4367859999998,80.217741874991,3027.3540788,76.90373724633267
p10_a080,10,0.8,5,1.6099600000000003,0.016389874923256765,2.4926,0.014158389738949844,0.7996676,0.00037098827474733924,56.4309378,0.1245383734304392,5448.4,16.45600194457937,7056.8,14.989996664442591,12505.2,5.805170109479997,5444.4,16.45600194457937,2142.0965996,19.5169476103402,2217.6249562000003,22.195711555017198
p10_a090,10,0.9,5,2.7708399999999997,0.011170854935948353,4.85368,0.018031971606011457,0.8997984000000001,0.0001228425821936317,77.9459356,0.12790207369429432,2451.0,14.106735979665885,8662.6,14.656056768449009,11113.6,1.51657508881031,2447.0,14.106735979665885,1109.3971098,39.891040499567346,1191.856957,34.47112572495882
p10_a095,10,0.95,5,5.0484,0.08291139849260766,9.40232,0.1542922940395921,0.9495598,0.0005530426746644524,88.6907062,0.26085010512399803,1191.0,27.23967694375247,9340.2,29.752310834622577,10531.2,6.1400325732035,1187.0,27.23967694375247,633.4159080000001,12.138427752242603,731.6395964,10.324760243549518
p20_a040,20,0.4,5,1.00076,0.00045607017003968284,1.00712,0.0012930583900196172,0.4,0.0,0.4464,0.06232816377850387,12444.2,7.791020472312982,55.8,7.791020472312982,12500.0,0.0,12440.2,7.791020472312982,4546.2355434,27.088713198662457,4638.1177688,33.50302179302473
p20_a050,20,0.5,5,1.00156,0.0004335896677735999,1.0115599999999998,0.0015059880477612778,0.5,0.0,0.958,0.0810555365166378,9904.2,8.105553651663778,95.8,8.105553651663778,10000.0,0.0,9900.2,8.105553651663778,3643.7317396,67.43702473379615,3727.5418855999997,71.07759069431255
p20_a060,20,0.6,5,1.00212,0.00048166378315163877,1.01508,0.002147556751287389,0.599952,0.0,1.4446846,0.05271372515104585,8213.6,4.39317652729776,120.4,4.393176527297759,8334.0,0.0,8209.6,4.39317652729776,2824.8578116,71.58268614836027,2904.4260633999997,69.12750072584899
p20_a075,20,0.75,5,1.4503600000000003,0.009230817948589395,2.27544,0.01806897894182179,0.7419448,0.004001567655307107,52.354231000000006,0.3770635238908691,3211.0,37.54996671103717,3528.2,22.664950915455343,6739.2,36.478760943869794,3207.0,37.54996671103717,1484.8530848,16.368478779614904,1559.9037058,34.229208333717665
p20_a080,20,0.8,5,1.67488,0.012766048723077981,2.7225599999999996,0.0255070186419346,0.7998976000000001,0.00010709248339637589,61.268936599999996,0.4873184766847034,2421.0,30.331501776206203,3829.8,30.670833050310193,6250.8,0.8366600265340756,2417.0,30.331501776206203,1087.164474,14.052252521455161,1176.9021914,24.127922339569263
p20_a090,20,0.9,5,2.8028000000000004,0.03940888224753383,4.9748,0.08141203842184515,0.8994747999999999,0.0004188050859289768,78.758004,0.4613131985625375,1180.8,25.64566240127168,4378.0,25.739075352467502,5558.8,2.5884358211089573,1176.8,25.64566240127168,614.8733933999999,7.955061057013294,715.960691,21.897357604321314
p20_a095,20,0.95,5,5.15724,0.04834612704240119,9.70232,0.13138307349122258,0.9486956000000001,0.0009739244323868384,89.207619,0.21479905767949525,568.8,11.233877335986895,4701.6,13.069047402163632,5270.4,5.412947441089743,564.8,11.233877335986895,457.27308060000007,10.296710688454066,570.3482712,53.04615848671522
p30_a040,30,0.4,5,1.0,0.0,1.0,0.0,0.399968,0.0,0.0,0.0,8334.0,0.0,0.0,0.0,8334.0,0.0,8330.0,0.0,3122.8922186000004,88.19100277085441,3209.9812142,68.12415561427727
p30_a050,30,0.5,5,1.00536,0.0007668115805072466,1.04956,0.0036066605052319537,0.49997499999999995,6.206335383118183e-17,3.0718465999999998,0.13640248182053,6462.2,9.093954035511725,204.8,9.093954035511725,6667.0,0.0,6458.2,9.093954035511725,2474.1265794,47.915694758626366,2566.3164016,40.47914355048605
p30_a060,30,0.6,5,1.00936,0.0017343586710943076,1.081,0.003367491648096562,0.599952,0.0,6.079913599999999,0.15451525023213727,5218.2,8.5848704125339,337.8,8.5848704125339,5556.0,0.0,5214.2,8.5848704125339,1958.6240463999998,10.376512873161076,2048.0060683999995,11.607316293971069
p30_a075,30,0.75,5,1.13948,0.017475468520185666,1.4300000000000002,0.044848188369208404,0.7497374,0.00023847180126797886,23.5358374,2.2307719307296523,3399.6,99.30911337838035,1046.4,99.11760691219295,4446.0,1.4142135623730951,3395.6,99.30911337838035,1089.4339439999999,26.131065145928638,1162.1069338,24.09548032331876
p30_a080,30,0.8,5,1.45824,0.012459052933509825,2.20484,0.02537691864667572,0.7998591999999999,0.00010516273104097544,53.078637,0.3316674330168696,1955.4,13.66747965061591,2212.0,14.0,4167.4,0.5477225575051662,1951.4,13.66747965061591,783.4818044,15.359413949032373,875.6942815999998,4.114475351080662
p30_a090,30,0.9,5,3.0494399999999997,0.028145123911612065,5.52724,0.020903301174694966,0.8982324,0.001420577628994622,79.8921692,0.11217751681464525,746.2,3.96232255123179,2964.8,7.155417527999327,3711.0,5.873670062235365,742.2,3.96232255123179,503.5885354,14.979212433582143,604.1245075999999,23.430661943674792
p30_a095,30,0.95,5,5.46716,0.10424139293006415,10.3542,0.22903104593045873,0.9483718,0.0010347524824806924,89.20552339999999,0.26641493732390437,379.4,9.154233993076646,3135.4,11.523888232710346,3514.8,3.8340579025361627,375.4,9.154233993076646,459.61181079999994,6.474047965774865,561.7647812000001,6.638138604498074
p40_a040,40,0.4,5,1.0000399999999998,8.944271909998174e-05,1.0006,0.000469041575982386,0.4,0.0,0.054400000000000004,0.018242806801586207,6246.6,1.140175425099138,3.4,1.140175425099138,6250.0,0.0,6242.6,1.140175425099138,2365.9342366,125.43923355159019,2447.1895000000004,130.18726705788237
p40_a050,40,0.5,5,1.0001200000000001,0.00026832815729994523,1.00076,0.0004335896677736102,0.5,0.0,0.092,0.033466401061363026,4995.4,1.6733200530681511,4.6,1.6733200530681511,5000.0,0.0,4991.4,1.6733200530681511,1923.3779384000002,56.75643207069289,2007.3222280000002,65.26671960581008
p40_a060,40,0.6,5,1.0001200000000001,0.00026832815729994523,1.0009599999999998,0.0006387487769068934,0.599952,0.0,0.1295896,0.05524800102537647,4161.6,2.3021728866442674,5.4,2.3021728866442674,4167.0,0.0,4157.6,2.3021728866442674,1504.6281086,33.63065649358265,1599.1052610000002,44.28045985467079
p40_a075,40,0.75,5,1.1887999999999999,0.012528367810692637,1.8899600000000003,0.029846741865738047,0.6489925999999999,0.0032323982273228416,46.888431600000004,0.5242188261263614,2046.0,26.296387584609413,1806.2,17.963852593472257,3852.2,19.162463307205577,2042.0,26.296387584609413,971.768966,32.694702772126206,1062.7965823999998,53.05411740502226
p40_a080,40,0.8,5,1.58292,0.018031417026955963,2.6130400000000003,0.04347836243466401,0.7569114000000001,0.004737175139257538,58.901713599999994,0.8277566929426169,1357.6,35.11837126063793,1945.4,17.052858997833766,3303.0,20.627651344736268,1353.6,35.11837126063793,691.6552876,15.032799553964555,794.4756034000001,28.325879319962244
p40_a090,40,0.9,5,2.80832,0.03279957316795438,5.0193200000000004,0.09191916013541455,0.8990872,0.0007783024476384087,79.018583,0.4844400100879384,583.4,12.973048986263791,2197.2,15.368799562750501,2780.6,2.4083189157584592,579.4,12.973048986263791,440.32532820000006,9.391355360143828,518.8273472,9.703003922679894
p40_a095,40,0.95,5,5.15564,0.1493628735663585,9.74172,0.32333779859459644,0.9474736,0.0011522390377000737,89.267182,0.5540869755241501,283.2,14.720733677368122,2355.4,14.117365193264641,2638.6,3.2093613071762426,279.2,14.720733677368122,496.2588482,9.613178967586913,603.5583232,23.31848996912521
p50_a040,50,0.4,5,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,4996.0,0.0,1939.9587662000001,43.68942789086135,2024.7568393999998,39.60872895803863
p50_a050,50,0.5,5,1.0040400000000003,0.0011865917579353064,1.0367600000000001,0.0019047309521294264,0.49997499999999995,5.5901699437488585e-05,1.8199038,0.081622875299759,3927.4,2.966479394838265,72.8,3.271085446759226,4000.2,0.4472135954999579,3923.4,2.966479394838265,1566.8988978,70.57439985438245,1662.2953367999999,59.547664058777094
p50_a060,50,0.6,5,1.0276,0.0011575836902790006,1.24984,0.010520836468646428,0.5988388,0.000687405047988473,15.3182074,0.8076876297048878,2828.2,26.82722497762301,511.6,27.024063351021066,3339.8,3.8340579025361627,2824.2,26.82722497762301,1250.2023720000002,31.702583986482033,1334.4378706,31.75981327755652
p50_a075,50,0.75,5,1.0432000000000001,0.001600000000000018,1.39216,0.009769749229125579,0.6888712,0.004516412647223449,27.462438600000002,0.4899556217100679,2106.0,10.074720839804943,797.4,18.46076921474292,2903.4,19.12589867169645,2102.0,10.074720839804943,835.6312688,13.930501579588515,953.1317688000001,23.609155530110172
p50_a080,50,0.8,5,1.29344,0.01178083188913247,1.9267600000000003,0.020236304010367065,0.7570226,0.004373937962523045,43.075921199999996,0.6432632938301394,1504.0,24.728526037756478,1138.0,12.0,2642.0,15.280706789936126,1500.0,24.728526037756478,617.9790116,24.460901343171667,705.0932404000001,22.44955004941297
p50_a090,50,0.9,5,2.4715200000000004,0.054804671333746675,4.32024,0.1323393667810149,0.8951803999999999,0.0024221701633039662,76.45707300000001,0.8728099916047013,526.0,19.685019685029527,1708.2,19.613770672667712,2234.2,6.058052492344384,522.0,19.685019685029527,422.84043199999996,5.493739625066728,513.2086372,14.225522432358305
p50_a095,50,0.95,5,5.35792,0.24374833743022725,10.12056,0.5554047425076599,0.9476037999999999,0.002604696757781965,89.26432,0.40658019291217345,226.6,9.016651263079881,1884.0,6.363961030678928,2110.6,5.813776741499453,222.6,9.016651263079881,545.5274280000001,9.513230156052611,655.2861922,18.284272963799545
p60_a040,60,0.4,5,1.0,0.0,1.0,0.0,0.399968,0.0,0.0,0.0,4167.0,0.0,0.0,0.0,4167.0,0.0,4163.0,0.0,1556.2608450000002,29.770629204473842,1631.1913410000002,20.14822528366759
p60_a050,60,0.5,5,1.00108,0.0004604345773289185,1.01928,0.004286257108480557,0.49990000000000007,6.206335383118183e-17,1.1637672,0.22980180615739296,3295.2,7.661592523751182,38.8,7.661592523751182,3334.0,0.0,3291.2,7.661592523751182,1275.2187405999998,39.83999113378158,1366.2095378,72.24352259534693
p60_a060,60,0.6,5,1.00252,0.0005403702434441923,1.03424,0.005307353389402271,0.5998656,0.00019319627325597647,2.562648,0.427141490371165,2707.2,12.070625501605125,71.2,11.861703081766969,2778.4,0.8944271909999161,2703.2,12.070625501605125,998.4685894,7.349803992555359,1078.8394085999998,12.236270632643555
p60_a075,60,0.75,5,1.0034399999999999,0.0008876936408468931,1.04944,0.0040973161947791895,0.7496704,0.0001511581952790128,4.650923000000001,0.34438894051783947,2119.8,7.429670248402684,103.4,7.6681158050723255,2223.2,0.44721359549995787,2115.8,7.429670248402684,685.0554152,12.839874025668205,762.5770278,14.527940470990423
p60_a080,60,0.8,5,1.2951599999999999,0.014648822478274558,1.78092,0.03845662491691127,0.7997441999999999,0.0002711755888718465,39.1553724,1.5976103778037698,1268.0,33.19638534539566,816.0,33.354160160315836,2084.0,0.7071067811865476,1264.0,33.19638534539566,529.7662376,19.227890363451955,600.1345752,18.184348735930197
p60_a090,60,0.9,5,2.7908,0.1060945804459397,5.06016,0.19119897489264936,0.8752255999999999,0.008053743682288365,78.2759088,0.6434675736602394,413.8,15.896540504147435,1490.6,3.9115214431215892,1904.4,17.472836060582726,409.8,15.896540504147435,415.6455046,4.169857710319882,504.4280768,13.36511277063514
p60_a095,60,0.95,5,5.516680000000001,0.09707240596585609,10.46568,0.15327221535555635,0.9469714,0.00142275394921255,89.284078,0.17820160850845598,188.6,3.1304951684997055,1571.4,4.03732584763727,1760.0,2.6457513110645907,184.6,3.1304951684997055,579.9528654,9.731518137008562,691.4380898000001,5.939355266369632
p70_a040,70,0.4,5,1.00008,0.00017888543819996348,1.0006,0.0006164414002969019,0.399936,0.0,0.027995799999999998,0.03428754917167455,3571.0,1.224744871391589,1.0,1.224744871391589,3572.0,0.0,3567.0,1.224744871391589,1365.6772406,39.86533461710275,1441.7977392,47.14992954080056
p70_a050,70,0.5,5,1.00008,0.00017888543819996348,1.00172,0.0010353743284435503,0.49985,0.0,0.10496880000000001,0.04285300655379969,2855.0,1.224744871391589,3.0,1.224744871391589,2858.0,0.0,2851.0,1.224744871391589,1076.9597291999999,8.206589737782013,1152.4011846,6.951393489005709
