P,alpha_max,utilizacao_real,paginas_primarias,paginas_overflow,percentual_overflow,total_paginas
10,0.4,0.4000 ± 0.0000,24611.20 ± 14.92,388.80 ± 14.92,1.56 ± 0.06,25000.00 ± 0.00
10,0.5,0.5000 ± 0.0000,19374.60 ± 32.99,625.40 ± 32.99,3.13 ± 0.16,20000.00 ± 0.00
10,0.6,0.6000 ± 0.0000,15166.40 ± 30.00,1500.40 ± 30.20,9.00 ± 0.18,16666.80 ± 0.45
10,0.75,0.7498 ± 0.0003,7172.60 ± 21.72,6164.80 ± 22.13,46.22 ± 0.16,13337.40 ± 5.08
10,0.8,0.7997 ± 0.0004,5448.40 ± 16.46,7056.80 ± 14.99,56.43 ± 0.12,12505.20 ± 5.81
10,0.9,0.8998 ± 0.0001,2451.00 ± 14.11,8662.60 ± 14.66,77.95 ± 0.13,11113.60 ± 1.52
10,0.95,0.9496 ± 0.0006,1191.00 ± 27.24,9340.20 ± 29.75,88.69 ± 0.26,10531.20 ± 6.14
20,0.4,0.4000 ± 0.0000,12444.20 ± 7.79,55.80 ± 7.79,0.45 ± 0.06,12500.00 ± 0.00
20,0.5,0.5000 ± 0.0000,9904.20 ± 8.11,95.80 ± 8.11,0.96 ± 0.08,10000.00 ± 0.00
20,0.6,0.6000 ± 0.0000,8213.60 ± 4.39,120.40 ± 4.39,1.44 ± 0.05,8334.00 ± 0.00
20,0.75,0.7419 ± 0.0040,3211.00 ± 37.55,3528.20 ± 22.66,52.35 ± 0.38,6739.20 ± 36.48
20,0.8,0.7999 ± 0.0001,2421.00 ± 30.33,3829.80 ± 30.67,61.27 ± 0.49,6250.80 ± 0.84
20,0.9,0.8995 ± 0.0004,1180.80 ± 25.65,4378.00 ± 25.74,78.76 ± 0.46,5558.80 ± 2.59
20,0.95,0.9487 ± 0.0010,568.80 ± 11.23,4701.60 ± 13.07,89.21 ± 0.21,5270.40 ± 5.41
30,0.4,0.4000 ± 0.0000,8334.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8334.00 ± 0.00
30,0.5,0.5000 ± 0.0000,6462.20 ± 9.09,204.80 ± 9.09,3.07 ± 0.14,6667.00 ± 0.00
30,0.6,0.6000 ± 0.0000,5218.20 ± 8.58,337.80 ± 8.58,6.08 ± 0.15,5556.00 ± 0.00
30,0.75,0.7497 ± 0.0002,3399.60 ± 99.31,1046.40 ± 99.12,23.54 ± 2.23,4446.00 ± 1.41
30,0.8,0.7999 ± 0.0001,1955.40 ± 13.67,2212.00 ± 14.00,53.08 ± 0.33,4167.40 ± 0.55
30,0.9,0.8982 ± 0.0014,746.20 ± 3.96,2964.80 ± 7.16,79.89 ± 0.11,3711.00 ± 5.87
