P,alpha_max,media_paginas_busca_sucesso,media_paginas_busca_sem_sucesso
10,0.4,1.0066 ± 0.0017,1.0240 ± 0.0034
10,0.5,1.0111 ± 0.0022,1.0380 ± 0.0049
10,0.6,1.0470 ± 0.0030,1.1441 ± 0.0066
10,0.75,1.3680 ± 0.0103,1.9927 ± 0.0130
10,0.8,1.6100 ± 0.0164,2.4926 ± 0.0142
10,0.9,2.7708 ± 0.0112,4.8537 ± 0.0180
10,0.95,5.0484 ± 0.0829,9.4023 ± 0.1543
20,0.4,1.0008 ± 0.0005,1.0071 ± 0.0013
20,0.5,1.0016 ± 0.0004,1.0116 ± 0.0015
20,0.6,1.0021 ± 0.0005,1.0151 ± 0.0021
20,0.75,1.4504 ± 0.0092,2.2754 ± 0.0181
20,0.8,1.6749 ± 0.0128,2.7226 ± 0.0255
20,0.9,2.8028 ± 0.0394,4.9748 ± 0.0814
20,0.95,5.1572 ± 0.0483,9.7023 ± 0.1314
30,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
30,0.5,1.0054 ± 0.0008,1.0496 ± 0.0036
30,0.6,1.0094 ± 0.0017,1.0810 ± 0.0034
30,0.75,1.1395 ± 0.0175,1.4300 ± 0.0448
30,0.8,1.4582 ± 0.0125,2.2048 ± 0.0254
30,0.9,3.0494 ± 0.0281,5.5272 ± 0.0209
30,0.95,5.4672 ± 0.1042,10.3542 ± 0.2290
40,0.4,1.0000 ± 0.0001,1.0006 ± 0.0005
40,0.5,1.0001 ± 0.0003,1.0008 ± 0.0004
40,0.6,1.0001 ± 0.0003,1.0010 ± 0.0006
40,0.75,1.1888 ± 0.0125,1.8900 ± 0.0298
40,0.8,1.5829 ± 0.0180,2.6130 ± 0.0435
40,0.9,2.8083 ± 0.0328,5.0193 ± 0.0919
40,0.95,5.1556 ± 0.1494,9.7417 ± 0.3233
50,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
50,0.5,1.0040 ± 0.0012,1.0368 ± 0.0019
50,0.6,1.0276 ± 0.0012,1.2498 ± 0.0105
50,0.75,1.0432 ± 0.0016,1.3922 ± 0.0098
50,0.8,1.2934 ± 0.0118,1.9268 ± 0.0202
50,0.9,2.4715 ± 0.0548,4.3202 ± 0.1323
50,0.95,5.3579 ± 0.2437,10.1206 ± 0.5554
60,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
60,0.5,1.0011 ± 0.0005,1.0193 ± 0.0043
60,0.6,1.0025 ± 0.0005,1.0342 ± 0.0053
60,0.75,1.0034 ± 0.0009,1.0494 ± 0.0041
60,0.8,1.2952 ± 0.0146,1.7809 ± 0.0385
60,0.9,2.7908 ± 0.1061,5.0602 ± 0.1912
60,0.95,5.5167 ± 0.0971,10.4657 ± 0.1533
70,0.4,1.0001 ± 0.0002,1.0006 ± 0.0006
70,0.5,1.0001 ± 0.0002,1.0017 ± 0.0010
70,0.6,1.0001 ± 0.0002,1.0021 ± 0.0010
70,0.75,1.2672 ± 0.0046,1.9390 ± 0.0120
70,0.8,1.4421 ± 0.0610,2.2854 ± 0.1241
70,0.9,2.3486 ± 0.0862,4.0062 ± 0.1800
70,0.95,5.4095 ± 0.0600,10.2574 ± 0.0921
80,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
80,0.5,1.0000 ± 0.0000,1.0000 ± 0.0000
80,0.6,1.0000 ± 0.0000,1.0000 ± 0.0000
80,0.75,1.1703 ± 0.0045,1.8904 ± 0.0131
80,0.8,1.2706 ± 0.0558,2.1107 ± 0.1086
80,0.9,2.6937 ± 0.0628,4.7993 ± 0.1398
80,0.95,5.0198 ± 0.1336,9.4419 ± 0.2720
90,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
90,0.5,1.0000 ± 0.0000,1.0000 ± 0.0000
90,0.6,1.0498 ± 0.0046,1.4381 ± 0.0157
90,0.75,1.0812 ± 0.0031,1.7006 ± 0.0066
90,0.8,1.0898 ± 0.0040,1.7621 ± 0.0122
90,0.9,2.4393 ± 0.0934,4.4239 ± 0.1758
90,0.95,4.8297 ± 0.1156,9.0588 ± 0.2310
100,0.4,1.0000 ± 0.0000,1.0000 ± 0.0000
100,0.5,1.0022 ± 0.0004,1.0320 ± 0.0055
100,0.6,1.0151 ± 0.0020,1.2222 ± 0.0177
100,0.75,1.0250 ± 0.0014,1.3522 ± 0.0157
100,0.8,1.0270 ± 0.0022,1.3794 ± 0.0120
100,0.9,2.1398 ± 0.0527,3.6331 ± 0.1082
100,0.95,4.4894 ± 0.1897,8.3777 ± 0.3928
